Document,Link,Sentence
Daring Greatly,No Link,"When discussing vulnerability, it is helpful to look at the definition and etymology of the word vulnerable."
Daring Greatly,No Link,"According to the Merriam-Webster Dictionary, the word vulnerability is derived from the Latin word vulnerare, meaning ""to wound."""
Daring Greatly,No Link,"Just from a linguistic perspective, it's clear that these are very different concepts, and in fact, one could argue that weakness often stems from a lack of vulnerability—when we don't accknowledge how and where we're tender, we're more at risk of being hurt."
Daring Greatly,No Link,Psychology and social psychology have produced very persuasive evidence on the importance of acknowledging vulnerabilities.
Daring Greatly,No Link,"From the field of health psychology, studies show that perceived vulnerability, meaning the ability to acknowledge our risks and exposure, greatly increases our chances of adhering to some kind of positive health regimen."
Daring Greatly,No Link,"In order to get patients to compy with prevention routines, they must work on perceived vulnerability."
Daring Greatly,No Link,"And what makes this really interesting is that the critical issue is not about our actual level of vulnerability, but the level at which we acknowledge our vulnerabilities around a certain illness or treat."
Daring Greatly,No Link,"From the field of social psychology, influence-and-persuasion researchers, who examine how people are affected by advertising and marketing, conducted a series of studies on vulnerability."
Daring Greatly,No Link,"They found that the participants who thought they were not susceptible or vulnerable to deceptive advertising were, in fact, the most vulnerable."
Daring Greatly,No Link,"The researchers' explanation for this phenomenon says it all: ""Far from being an effective shield, the illusion of invulnerability undermines the very response that would have supplied genuine protection."""
Daring Greatly,No Link,Vulnerability begets vulnerability; courage is contagious.
Daring Greatly,No Link,"There's actually some very persuasive leadership research that supports the idea that asking for support is critical, and that vulnerability and courage are contagious."
Daring Greatly,No Link,The snowball starts rolling when a leader is willing to be vulnerable with his or her subordinates.
Daring Greatly,No Link,Their research shows that this act of vulnerability is predictably perceived as courageous by team members and inspires others to follow suit.
Daring Greatly,No Link,"Similar to the story above, my greatest personal and professional transformations happened when I started asking hard questions about how my fear of being vulnerable was holding me back and when I found the courage to share my struggles and ask for help."
Daring Greatly,No Link,"After running from vulnerability, I found that learning how to lean into the discomfort of uncertainty, risk, and emotional exposure was a painful process."
Daring Greatly,No Link,"I did believe that I could opt out of feeling vulnerable, so when it happended—when the phone rang with unimaginable news; or when I was scared; or when I loved so fiercely that rather than feeling gratitude and joy I could only prepare for loss—I controlled things."
Daring Greatly,No Link,The shield required that I stay small and quiet behind it so as not to draw attention to my imperfections and vulnerabilities.
Daring Greatly,No Link,"I looked at Steve and said, ""Isn't it funny how I just love her that much more for being so vulnerable and uninhibited and goofy."
Daring Greatly,No Link,"Honestly, as someone who rarely risked vulnerability and always steered clear of silly or goofy, it never dawned on me that adults could love each other like that; that I could be loeved for my vulnerabilities, not despite them."
Daring Greatly,No Link,We simply can't learn to be more vulnerable and courageous on our own.
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,How has your own journey in vulnerability and authenticity changed as you’ve become more well known and your work has become more well known?
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"I call 2010 the year of the vulnerability talk and 2011 the year of walking the talk, because I was very unprepared."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"One of the things I did when I discovered this huge importance of being vulnerable is very happily moved away from the shame research, because that’s such a downer, and people hate that topic."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"It’s not that vulnerability is the upside, but it’s better than shame, I guess."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"And what I realized over the last year is, if you don’t understand shame and you don’t have some shame resilience and awareness, then you cannot be vulnerable."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,How did you come to realize that you needed to understand shame to be vulnerable?
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"And I think the reason I’m still standing is not because the word got out there that I was vulnerable, but I’m still standing because I understand shame."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,I would argue more than ever that vulnerability is still just absolutely essential.
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"That we can’t know things like love and belonging and creativity and joy without vulnerability, but in this culture of reflexive cynicism you better also really have an understanding of shame if you’re going to put yourself out there."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,You mentioned you have received attacks and negative feedback from your vulnerability work.
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"I got a lot of feedback that was constructive and hard to hear, things like: “You shouldn’t be talking about vulnerability unless you’re going to talk about the construct of trust, and what do you think about trust?” And the truth is, I don’t understand it well enough to talk about it yet."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"But when you’re defined by it, you’ve lost your ability to be vulnerable."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"And I don’t think engagement can happen without vulnerability, and I definitely don’t think it can happen in the midst of shame."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"If you think dealing with issues like worthiness and authenticity and vulnerability are not worthwhile because there are more pressing issues, like the bottom line or attendance or standardized test scores, you are sadly, sadly mistaken."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"There’s not a talk that I’ve seen since I’ve been here — and I’ve been in all the sessions, and I saw the TED Fellows talks — there’s not a talk I’ve seen where people really touch lives and made a huge difference where they were not excruciatingly vulnerable."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"The results that we see at TED, and the innovation, and the incredible music and the art is an expected outcome, in my opinion, of human potential when people are willing to be brave and vulnerable."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,It’s because of the willingness of the people who are here to be brave and vulnerable.
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"Veterans are a population that I’m really interested in, and police officers and firefighters, and people who we basically pay to be invulnerable."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"Then, when they return back to their lives, whether it’s at night when they come home or when they come back from a tour, they have no capacity for vulnerability and their lives are falling apart."
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,"I asked my girlfriends (who are also big fans of your work) what they would ask you if they had the chance, and they all came back with this: What advice would you give to someone who feels like they are not [blank] enough to go about living more authentically and vulnerably?"
Being vulnerable about vulnerability: Q&A with Brené Brown,https://blog.ted.com/being-vulnerable-about-vulnerability-qa-with-brene-brown/,How has understanding shame and vulnerability changed you as a parent?
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,The thing that underpinned this was excruciating vulnerability.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,And you know how I feel about vulnerability.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,I hate vulnerability.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"I'm going in, I'm going to figure this stuff out, I'm going to spend a year, I'm going to totally deconstruct shame, I'm going to understand how vulnerability works, and I'm going to outsmart it."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,The other thing that they had in common was this: They fully embraced vulnerability.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,They believed that what made them vulnerable made them beautiful.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"They didn't talk about vulnerability being comfortable, nor did they really talk about it being excruciating -- as I had heard it earlier in the shame interviewing."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,And now my mission to control and predict had turned up the answer that the way to live is with vulnerability and to stop controlling and predicting.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"And I said, ""Well, I have a vulnerability issue."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"And I know that vulnerability is the core of shame and fear and our struggle for worthiness, but it appears that it's also the birthplace of joy, of creativity, of belonging, of love."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"And you know how there are people that, when they realize that vulnerability and tenderness are important, that they surrender and walk into it."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"And so then I went back into the research and spent the next couple of years really trying to understand what they, the whole-hearted, what choices they were making, and what we are doing with vulnerability."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,Am I alone in struggling with vulnerability?
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,We numb vulnerability -- when we're waiting for the call.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"It was funny, I sent something out on Twitter and on Facebook that says, ""How would you define vulnerability?"
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"What makes you feel vulnerable?"""
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,We live in a vulnerable world.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,And one of the ways we deal with it is we numb vulnerability.
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"Here's vulnerability, here's grief, here's shame, here's fear, here's disappointment."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"And then, we are miserable, and we are looking for purpose and meaning, and then we feel vulnerable, so then we have a couple of beers and a banana nut muffin."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"The more afraid we are, the more vulnerable we are, the more afraid we are."
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"This is what I have found: To let ourselves be seen, deeply seen, vulnerably seen ... to love with our whole hearts, even though there's no guarantee -- and that's really hard, and I can tell you as a parent, that's excruciatingly difficult -- to practice gratitude and joy in those moments of terror, when we're wondering, ""Can I love you this much?"
The Power of Vulnerability,https://www.ted.com/talks/brene_brown_on_vulnerability/transcript?language=en,"just to be able to stop and, instead of catastrophizing what might happen, to say, ""I'm just so grateful, because to feel this vulnerable means I'm alive."""
