Document,Link,Sentence
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,"These core considerations, which have been incorporated into the VEP Charter, help to standardize the process by which decision makers weigh the benefit to national security and the national interest when deciding whether to disclose or restrict knowledge of a vulnerability."
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,We also clarify what categories of vulnerabilities are submitted to the process and ensure that any decision not to disclose a vulnerability will be reevaluated regularly.
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,"There are still important reasons to keep many of the specific vulnerabilities evaluated in the process classified, but we will release an annual report that provides metrics about the process to further inform the public about the VEP and its outcomes."
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,"The devil is in the details, and we don't know the details -- and it has giant loopholes that pretty much anything can fall through:
The United States Government's decision to disclose or restrict vulnerability information could be subject to restrictions by partner agreements and sensitive operations."
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,Quantities of excepted vulnerabilities from each department and agency will be provided in ERB meetings to all members.
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,"It's not clear if all vulnerabilities are given such consideration, or if bugs are periodically reviewed to determine if they should be disclosed."
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,"That said, any VEP that allows something as dangerous as EternalBlue -- or the Cisco vulnerabilities that the Shadow Brokers leaked last August -- to remain unpatched for years isn't serving national security very well."
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,The NSA must avoid hoarding vulnerabilities.
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,Here's more about the Windows vulnerabilities hoarded by the NSA and released by the Shadow Brokers.
NSA Collects MS Windows Error Information,https://www.schneier.com/blog/archives/2017/08/nsa_collects_ms.html,"The article talks about the (limited) value of this information with regard to specific target computers, but I have another question: how valuable would this database be for finding new zero-day Windows vulnerabilities to exploit?"
WikiLeaks Not Disclosing CIA-Hoarded Vulnerabilities to Companies,https://www.schneier.com/blog/archives/2017/03/wikileaks_not_d.html,"WikiLeaks has started publishing a large collection of classified CIA documents, including information on several -- possibly many -- unpublished (i.e., zero-day) vulnerabilities in computing equipment used by Americans."
WikiLeaks Not Disclosing CIA-Hoarded Vulnerabilities to Companies,https://www.schneier.com/blog/archives/2017/03/wikileaks_not_d.html,"Despite assurances that the US government prioritizes defense over offense, it seems that the CIA was hoarding vulnerabilities."
WikiLeaks Not Disclosing CIA-Hoarded Vulnerabilities to Companies,https://www.schneier.com/blog/archives/2017/03/wikileaks_not_d.html,"Publishing those vulnerabilities into the public means that they'll get fixed, but it also means that they'll be used by criminals and other governments in the time period between when they're published and when they're patched."
WikiLeaks Not Disclosing CIA-Hoarded Vulnerabilities to Companies,https://www.schneier.com/blog/archives/2017/03/wikileaks_not_d.html,WikiLeaks has said that it's going to do the right thing and privately disclose those vulnerabilities to the companies first.
WikiLeaks Not Disclosing CIA-Hoarded Vulnerabilities to Companies,https://www.schneier.com/blog/archives/2017/03/wikileaks_not_d.html,"Honestly, at this point the CIA should do the right thing and disclose all the vulnerabilities to the companies."
WikiLeaks Not Disclosing CIA-Hoarded Vulnerabilities to Companies,https://www.schneier.com/blog/archives/2017/03/wikileaks_not_d.html,The CIA should bypass WikiLeaks and get the vulnerabilities fixed as soon as possible.
Security Vulnerabilities in Wireless Keyboards,https://www.schneier.com/blog/archives/2016/08/security_vulner_7.html,"Most of them are unencrypted, which makes them vulnerable to all sorts of attacks:
On Tuesday Bastille's research team revealed a new set of wireless keyboard attacks they're calling Keysniffer."
